country,id,un_region_name,global_index_score_2019,index_to_be_defined,inverse_global_index_2019,mjc_criteria_sdr_mild_version,mjc_criteria_sdr_medium_version,mjc_criteria_sdr_heavy_version,mjc_criteria_sdr_ponderated,mjc_criteria_equality,mjc_criteria_capacity,mjc_criteria_historical_responsability,mjc_criteria_present_responsability,mjc_criteria_ponderated,population_2019,gdp_per_capita_ppp_2017,cum_emissions_per_capita_1994_2017,emissions_per_cap_2017,poverty_ratio_320,undernourishment_prevalence,stunting_prevalence_under_5_yrs,wasting_prevalence_in_children_under_5,maternal_mortality_rate_per_100k_births,neonatal_mortality_rate_1k_births,under_5_mortality_rate_1k_births,life_expec_at_birth_yrs,univ_health_coverage_index,net_primary_enrolment_rate,lower_secondary_completion_rate,literacy_rate_15_24_yrs_both_sexes,ratio_female_to_male_labour_force_rate,population_rate_using_basic_drinking_water_services,population_rate_using_basic_sanitation_services,access_to_electricity_pop_rate,access_to_clean_fuels_and_tech_for_cooking_rate,unemployment_rate,population_using_the_internet
Dominican Republic,DOM,LAC,69.76190866,30.23809134,0.334958484,0.127805323,0.115774694,0.0267774,0.090119139,0.143383928,0.191733188,0.496759912,0.516868224,0.233012581,10996774,14600.86058,2.982865014,2.819008557,5.16,10.4,7.1,2.4,92,20.1,29.9,73.5,64.297,92.87434,76.65235,98.83941,68.56296179,94.4770736,82.69698174,100,90.41,5.488999844,64.99320547
Tunisia,TUN,Africa,69.98799711,30.01200289,0.33005871,0.135920923,0.122239236,0.0120313,0.09006382,0.153637505,0.258032335,0.452475332,0.456615292,0.239069743,11783168,10849.29739,3.274803411,3.190992439,2.18,4.9,10.1,2.8,62,7.5,13,76,79.378,98.56731,70.82054,96.2091,34.27580347,94.23021796,93.1278284,100,99.1,15.25399971,55.5
Fiji,FJI,Oceania,70.07084208,29.92915792,0.328263299,0.010568769,0.009479389,0.003896548,0.007981569,0.011979421,0.321668101,0.527428947,0.466439146,0.209640784,918757,8702.975322,2.809416832,3.123785724,9.08,4.4,7.5,6.3,30,10.6,25.3,69.9,59.933,97.23775,96.81344,,54.10429166,93.71244712,95.67704656,98.6460495,39.56,6.236000061,49.96637301
Cyprus,CYP,Asia,70.14401802,29.85598198,0.326677435,0.013752201,1.23E-02,4.47E-05,0.008700685,0.015625962,0.086363046,0.173708685,0.190838818,0.073240861,1198427,32415.13223,8.530188115,7.635008223,0.08,4.6,2.58,0.7,7,1.6,2.7,80.7,93.586,97.36852,97.61321,99.82099,86.21882496,100,99.36966086,100,100,10.35900021,80.74318897
Albania,ALB,Europe,70.27264723,29.72735277,0.323889791,0.033573805,0.029913668,0.004157863,0.022548445,0.038313359,0.237202524,0.542527535,0.419750391,0.194800823,2938428,11802.02257,2.731230523,3.471243808,3.05,5.5,23.1,9.4,29,6.1,8.8,76.4,80.258,96.50314,91.11684,99.2314,72.71054488,91.39433316,97.69065534,100,77.42,15.13199997,71.8470405
Andorra,AND,Europe,70.36599712,29.63400288,0.321866718,0.000383646,0.000340757,0,0.000241467,0.000439183,0.048465795,0.172740815,0.215254454,0.06078602,77072,,8.111324676,7.538405647,,1.17,2.58,0.7,,1.4,3.3,,93.892,,,,,100,100,100,100,,98.87143552
Liechtenstein,LIE,Europe,70.36599712,29.63400288,0.321866718,0.000877842,0.000779705,,0.000828773,0.001004921,,0.182678887,0.193284365,0.063265503,38404,,7.26449077,5.416102489,,1.17,2.58,0.7,,,,,,92.1204,86.0241,,,100,99.95,100,,,98.1
Monaco,MCO,Europe,70.36599712,29.63400288,0.321866718,0.000445368,0.000395578,,0.000420473,0.00050984,,0.308253178,0.379825344,0.114978388,39102,,4.806982929,3.836120915,,1.17,2.58,0.7,,1.7,3.3,,,,,,,100,100,100,100,,97.05297684
San Marino,SMR,Europe,70.36599712,29.63400288,0.321866718,0.000437417,0.000388517,,0.000412967,0.000500739,,0.203974072,0.269022964,0.079129523,33683,57761.75798,8.577982943,6.768993261,,1.17,2.58,0.7,,1,2.2,,,92.70895,91.71598,,,100,100,100,100,,60.18230126
Azerbaijan,AZE,Asia,70.45890404,29.54109596,0.319853246,0.113707312,0.100679406,0,0.071462239,0.130577304,0.176651452,0.240730508,0.205518254,0.150453844,10014575,15847.41883,6.155296944,7.089666811,0,2.5,18,3.1,25,11.8,23,73.1,68.656,93.7475,88.45454,99.94048,90.74892928,84.37787214,89.34908083,100,95.54,5.037000179,79
"Iran, Islamic Rep.",IRN,Asia,70.48640871,29.51359129,0.319257166,0.939486554,0.831069333,0.122070383,0.630875423,1.079877315,0.147472908,0.156393839,0.131740709,0.50057323,82820766,18982.94125,9.474591645,11.06002811,3.2,4.9,6.8,4,25,9.1,14.9,75.7,76.705,98.59657,94.37617,98.10135,23.30348369,94.86619973,88.28982193,100,98.49,12.36900043,60.41635615
Brazil,BRA,LAC,70.61576131,29.38423869,0.316453845,2.398740848,2.112551753,1.089891276,1.867061293,2.769330543,0.19849535,0.299528031,0.276310778,1.280701647,212392717,14103.45153,4.947008656,5.273250495,11.19,2.5,7.1,1.6,44,8.5,14.8,75.1,70.021,95.47144,71.75012,98.96375,71.21773665,97.49794257,86.14835205,100,95.59,12.04100037,67.47
Cuba,CUB,LAC,70.81912642,29.18087358,0.31204653,0.128891688,0.112713016,,0.120802352,0.149841644,,0.38090589,0.341029612,0.210524677,11492046,,3.89011512,4.272520315,,2.5,7,2.4,39,2.2,5.4,79,78.097,96.92769,95.93332,99.87465,61.40170601,95.17550602,90.81850737,100,79.44,2.558000088,49.1046873
Russian Federation,RUS,Europe,70.94033862,29.05966138,0.309419627,1.607189857,1.399434525,0.003262924,1.003295769,1.876214731,0.113037018,0.104467666,0.096176086,0.773217349,143895551,24765.95363,14.18398451,15.14987771,0.05,2.5,,,25,3.3,7.6,71.9,81.108,96.98201,98.91831,99.7096,78.87953784,96.37505701,88.78669802,100,98.25,5.06099987,76.00813853
Vietnam,VNM,Asia,71.08528125,28.91471875,0.306278439,1.082771351,0.937912453,0.188169957,0.736284587,1.270350878,0.453584263,0.56417574,0.391073258,0.734461057,97429061,6171.884192,2.626429422,3.72578773,4.28,10.8,24.6,6.4,54,10.6,20.9,76.3,71.722,97.96511,87.55834,97.09167,87.79578648,91.19176624,78.23744781,100,66.92,2.094000101,49.56909734
Algeria,DZA,Africa,71.09970576,28.90029424,0.305965832,0.474073795,0.410435303,0.038691161,0.30773342,0.556480042,0.201398396,0.255752957,0.271553349,0.332316253,42679018,13900.15811,5.793746351,5.365634233,2.01,4.7,11.7,4.1,140,14.9,24,76.4,72.332,97.54668,79.07359,93.76733,22.78253025,93.46642653,87.48768636,99.43956757,92.62,10.06599998,47.69105515
Uzbekistan,UZB,Asia,71.13055054,28.86944946,0.305297366,0.364031663,0.314812384,0.40101324,0.359952429,0.427766298,0.447692795,0.180219065,0.196716751,0.355969857,32807368,6253.10386,8.222036693,7.406872749,27.13,7.4,19.6,4.5,36,12.1,22.5,72.3,67.842,96.22541,91.01313,100,68.99893433,91.45864126,100,100,92.1,6.902999878,52.30510079
Peru,PER,LAC,71.18572532,28.81427468,0.304101622,0.364736532,0.314788169,0.129289503,0.269604735,0.429415266,0.228774617,0.496104702,0.432310271,0.348000526,32933835,12236.80134,2.986804513,3.370394004,8.73,8.8,13.1,1,68,7.3,15,75.9,71.901,96.55621,86.85895,99.05748,81.98785966,89.86763835,76.8155252,94.85174561,75.06,3.638000011,48.72763146
Greece,GRC,Europe,71.40963726,28.59036274,0.299249017,0.122245661,0.10463443,0.012111364,0.079663818,0.145050656,0.113918205,0.136837104,0.169198006,0.122912559,11124603,24574.38248,10.82869862,8.611543261,2.44,2.5,2.58,0.7,3,3,5.3,81.2,90.882,92.90618,90.09265,98.81486,75.24174929,100,98.96396396,100,94.29,21.07299995,69.89
Israel,ISR,Asia,71.52939235,28.47060765,0.296653693,0.093931544,0.080037327,0.002440963,0.058803278,0.111923333,0.084493616,0.12981133,0.143431718,0.097960438,8583916,33132.3203,11.41477995,10.1585337,0.64,2.5,2.58,0.7,5,2,3.6,82.3,89.634,97.0222,101.41423,,85.95108481,100,100,100,100,3.808000088,81.58118359
Kyrgyz Republic,KGZ,Asia,71.61726407,28.38273593,0.294749342,0.06783866,0.057610805,0.046964684,0.057471383,0.081082833,0.824956921,0.557520294,0.471920386,0.369557869,6218616,3393.473613,2.657782646,3.087503715,17.05,6.5,12.9,2.8,76,10.7,20,71.4,68.598,89.90423,96.31183,99.75185,63.19949431,87.2686387,96.58607827,99.99610138,81.25,7.357999802,38.19903776
Maldives,MDV,Asia,72.12313037,27.87686963,0.283786241,0.004840162,0.004029353,0.001735363,0.003534959,0.005890088,0.184557384,0.626991534,0.450827081,0.183222935,451738,15168.55883,2.363297877,3.231961889,8.83,11,20.3,10.2,68,4.5,7.9,78.4,78.169,99.49878,103.92949,99.26838,52.52293983,97.88197985,95.86881806,100,93.83,4.965000153,63.18566588
Ecuador,ECU,LAC,72.29118216,27.70881784,0.280144233,0.182118746,0.150572768,0.075870295,0.13618727,0.222968012,0.265236056,0.364627599,0.385105156,0.249814429,17100444,10554.63417,4.063783886,3.783527492,10.26,7.8,23.9,1.6,64,7.5,14.5,76.5,67.924,91.34875,104.08596,99.05711,67.79339462,92.60993222,86.13821596,99.93681335,95.58,4.031000137,57.27224368
Argentina,ARG,LAC,72.35040745,27.64959255,0.278860707,0.479304708,0.395310523,0.050600499,0.308405243,0.588069786,0.14786842,0.18462205,0.188838558,0.307768438,45101781,18932.16647,8.025952259,7.715881552,2.6,3.8,8.2,1.2,52,5.9,10.4,76.9,74.655,98.99401,88.42663,99.50271,64.60673125,99.62730019,94.83988146,100,98.4,8.161999702,75.80974423
Serbia,SRB,Europe,72.48658054,27.51341946,0.275909572,0.092354388,0.075736953,0.001949982,0.056680441,0.113872505,0.199267606,0.203744962,0.166776705,0.138770347,8733407,14048.79395,7.272659628,8.736567527,0.52,5.6,6,3.9,17,3.7,5.7,76.3,80.508,95.17741,94.93034,99.71982,74.43440676,91.18245316,94.64288939,100,76.41,13.08399963,70.33083553
Uruguay,URY,LAC,72.55117803,27.44882197,0.27450962,0.03673679,0.030044373,0.000179,0.022320054,0.04540288,0.136217886,0.139357117,0.137498539,0.085592162,3482156,20551.40942,10.63288185,10.59688308,0.12,2.5,10.7,1.3,15,4.6,8.2,77.1,77.093,98.03885,74.12025,98.9326,75.52479269,99.24911101,95.6749109,100,97.97,8.048999786,68.27966256
Romania,ROU,Europe,72.73075524,27.26924476,0.270617834,0.204204935,0.165721032,0.009037795,0.126321254,0.254038202,0.119118495,0.213898362,0.246855178,0.18246368,19483360,23501.55226,6.927438559,5.902472674,1.09,2.5,12.8,3.5,31,3.7,7.8,75.2,79.604,86.56465,86.39524,98.99569,69.62448978,100,81.81271859,100,85.88,4.625,63.74728218
Ukraine,UKR,Europe,72.81392878,27.18607122,0.268815303,0.457617295,0.370030958,0.005202717,0.27761699,0.571033895,0.354614923,0.153849038,0.195742594,0.344515406,43795220,7894.392926,9.63130989,7.443734727,0.28,3.3,22.9,8.2,24,5.2,8.8,72.5,75.327,92.43896,95.14546,99.96976,74.33384449,97.73177956,95.93784236,100,95.73,8.982000351,57.11513856
Thailand,THA,Asia,73.0005811,26.9994189,0.264770186,0.719209675,0.576764175,0.000292029,0.432088626,0.903664064,0.171965797,0.268623517,0.212595689,0.437082022,69306160,16279.22292,5.516150549,6.853647641,0.01,9,10.5,5.4,20,5.3,9.5,75.5,76.392,98.01958,78.36748,98.14663,78.23536565,98.23114483,95.01129717,100,74.43,1.268000007,52.89192934
China,CHN,Asia,73.21140884,26.78859116,0.260201141,14.62131569,11.61378732,1.490149821,9.241750946,18.51580029,0.182867737,0.235127597,0.159162293,7.034390979,1420062022,15308.71212,6.301972964,9.154529731,2.51,8.7,8.1,1.9,27,4.7,9.3,76.4,80.404,,102.22117,99.64229,80.45014969,95.81802862,75.03727856,100,59.26,4.714000225,54.3
Australia,AUS,Oceania,73.88662918,26.11337082,0.245567809,0.251807843,0.193644803,0.00644139,0.150631345,0.327123863,0.062699898,0.060444625,0.065629347,0.150873023,25088636,44648.70991,24.51446709,22.20128667,0.63,2.5,2,0,6,2.1,3.5,82.9,95.177,96.67783,,,84.08593991,99.96870195,100,100,100,5.473999977,86.54472054
Moldova,MDA,Europe,74.40977404,25.59022596,0.234230248,0.03963524,0.029667329,0.000675928,0.023326166,0.052542808,0.539399774,0.42219397,0.376382769,0.253639279,4029750,5189.97166,3.509684804,3.871207891,0.42,,6.4,1.9,23,11.6,15.5,71.5,72.601,86.50643,82.10988,99.45616,85.28702532,86.69334497,78.39894398,100,92.19,4.385000229,76.12451989
Bulgaria,BGR,Europe,74.51905253,25.48094747,0.231861972,0.068445305,0.050931411,0.006030775,0.041802497,0.091124256,0.15046032,0.176285186,0.165040255,0.113512448,6988739,18606.03211,8.405514918,8.828488229,2.17,3,8.8,3.2,11,3.7,7.5,74.8,77.661,91.20163,47.55045,97.86505,80.2662082,99.25563508,85.98111231,100,88.65,4.919000149,63.41010138
United States,USA,North America,74.51961028,25.48038972,0.231849884,3.222954119,2.398186934,0.095531532,1.905557529,4.290955048,0.051626492,0.062171297,0.073657,1.579013304,329093110,54225.44612,23.83363128,19.78163566,0.73,2.5,2.1,0.5,14,3.6,6.6,78.5,87.768,95.07325,,,81.60809395,99.20043461,99.96955086,100,100,4.035999775,75.23264272
Luxembourg,LUX,Europe,74.78446078,25.21553922,0.226110061,0.005785835,4.24E-03,2.35E-05,0.003350687,0.007784015,0.029693784,0.06353681,0.084451528,0.028705664,596992,94277.96536,23.32140641,17.25316252,0.1,2.5,2.58,0.7,10,1.7,2.6,82.4,94.204,95.5354,98.72927,,82.63018827,99.9508,97.61098261,100,100,5.359000206,97.82762613
Costa Rica,CRI,LAC,74.97505188,25.02494812,0.221979583,0.048086033,0.034880836,0.003573056,0.028846642,0.065185601,0.180010395,0.459124677,0.418642654,0.178231576,4999384,15551.71048,3.227375562,3.480428789,1.83,4.4,5.6,1,25,5.9,9,79.6,76.709,96.60978,56.7513,99.1337,61.76646205,99.69781668,97.1485496,100,93.45,8.034999847,71.58166462
Lithuania,LTU,Europe,75.10327207,24.89672793,0.219200804,0.027410323,0.019735226,0.001268787,0.016138112,0.037348897,0.094819689,0.220052662,0.197804598,0.089308832,2864459,29524.13765,6.733696162,7.366137899,1.14,2.5,2.58,0.7,10,2,4.3,75,81.22,98.28579,101.32278,99.8558,84.54804603,97.38087004,93.62184087,100,100,6.920000076,77.61525651
Chile,CHL,LAC,75.61148881,24.38851119,0.208186764,0.171883672,0.11998599,0.006909388,0.099593017,0.239086603,0.122961522,0.279117192,0.240698462,0.180387242,18336653,22767.03719,5.308765661,6.05344934,0.99,3.3,1.8,0.3,22,5,7.4,79.5,81.053,94.779,92.43022,99.35394,68.188104,100,99.8882097,100,92.28,7.014999866,82.32748693
Italy,ITA,Europe,75.79012802,24.20987198,0.204315306,0.551016594,0.380277982,0.039824877,0.323706484,0.772108073,0.079485034,0.165705572,0.199265103,0.339446232,59216525,35220.08379,8.942172232,7.312148087,1.78,2.5,2.58,0.7,4,2,3.4,82.8,94.701,96.90515,99.82848,99.85964,68.01415124,100,99.28144435,100,100,10.56599998,61.30114276
Poland,POL,Europe,75.92808894,24.07191106,0.201325426,0.351841041,0.240637134,0.001142895,0.19787369,0.495840315,0.102382046,0.136354292,0.132558202,0.232638075,38028278,27343.36384,10.86704161,10.99182035,0.08,2.5,2.58,0.7,3,3,4.7,77.8,84.524,94.9783,95.42526,99.79683,74.94980832,97.8885955,98.13271295,100,100,4.364999771,75.98536595
Malta,MLT,Europe,76.10531233,23.89468767,0.197484652,0.003978911,2.69E-03,2.75E-05,0.002231861,0.005648963,0.076686438,0.214600414,0.285639006,0.083671743,433245,36505.40592,6.904775884,5.101039827,0.17,2.5,2.58,0.7,9,4.4,6.4,81.5,89.608,97.5698,99.80421,98.88194,63.68690562,100,99.96135673,100,100,3.903000116,80.07137784
Slovak Republic,SVK,Europe,76.21470144,23.78529856,0.195113979,0.04983254,0.033428808,0.002407852,0.0285564,0.071073929,0.09283553,0.16479076,0.182164977,0.091485932,5450987,30155.15212,8.99181341,7.998551455,1.19,2.7,2.58,0.7,6,2.8,5.6,77.4,83.182,,86.67971,,77.56232279,97.925558,98.9281762,100,96.58,7.268000126,81.62566752
Portugal,PRT,Europe,76.42595362,23.57404638,0.190535735,0.092914805,0.061412294,0.003433176,0.052586758,0.133707785,0.100206892,0.206012355,0.209266415,0.123535205,10254666,27936.89609,7.192616006,6.962684109,0.91,2.5,2.58,0.7,10,2.1,3.7,81.5,90.165,96.28771,,99.43512,83.76500501,99.90456968,99.44214277,100,100,7.34800005,73.79121395
Hungary,HUN,Europe,76.88659377,23.11340623,0.180552772,0.085775199,0.054793625,0.002646946,0.04773859,0.125893611,0.104545353,0.211671834,0.219133974,0.123395115,9655361,26777.56079,7.000306725,6.649155842,0.76,2.5,2.58,0.7,17,2.4,4.5,76,84.181,91.39128,93.44505,98.8,74.9632103,99.97125227,97.98953148,100,100,3.648999929,76.75054712
Latvia,LVA,Europe,77.134978,22.865022,0.175169805,0.016795236,0.010522086,0.000627399,0.009314907,0.024918414,0.111694137,0.273292771,0.235982311,0.10014125,1911108,25063.71085,5.421906168,6.174428656,0.92,2.5,2.58,0.7,18,2.2,4.2,75,81.863,96.30354,96.21353,99.83543,82.15485395,98.59556082,92.8639823,100,95.28,8.569000244,81.3158617
Belarus,BLR,Europe,77.44476174,22.55523826,0.168456192,0.081783701,0.049949876,0.00026566,0.043999745,0.123005703,0.163162352,0.155432607,0.137456822,0.119153129,9433874,17157.57043,9.533184799,10.60009917,0.08,2.5,4.5,2.2,4,1.5,3.7,74.2,83.564,95.70099,102.56073,99.82321,82.69616565,98.0055556,94.25397986,100,98.18,0.472000003,74.43644541
Croatia,HRV,Europe,77.7918602,22.2081398,0.160933897,0.035339249,0.020942125,0.001736251,0.019339208,0.053982257,0.122631151,0.23434305,0.229369858,0.106952268,4140148,22828.37215,6.323071073,6.352429913,1.21,2.5,2.58,0.7,8,2.9,4.6,78.3,87.225,87.45562,91.59296,99.72363,79.14270544,99.58590089,97.46612845,100,92.7,9.098999977,67.09619204
Spain,ESP,Europe,77.84050474,22.15949526,0.159879675,0.395540676,0.233374091,0.021360556,0.216758441,0.605532135,0.08168301,0.173423025,0.196706996,0.272259649,46441049,34272.36038,8.544238916,7.407240091,1.33,2.5,2.58,0.7,5,1.7,3.1,83.1,93.586,98.46452,91.87004,99.62216,82.10544556,99.94341049,99.90436021,100,100,14.54899979,84.6022457
Canada,CAN,North America,77.88742776,22.11257224,0.158862763,0.316841626,0.18614577,0.006689834,0.16989241,0.486081259,0.063598881,0.067539164,0.075233754,0.197739752,37279811,44017.59091,21.93938573,19.36705098,0.52,2.5,2.58,0.7,7,3.5,5.1,82.8,92.837,99.96224,,,87.06634727,98.9,98.5,100,100,5.873000145,92.70137191
Ireland,IRL,Europe,78.21597902,21.78402098,0.151742421,0.040583807,0.023117978,0.000346052,0.021349279,0.06320052,0.04157507,0.09632114,0.114280788,0.057856458,4847139,67335.29341,15.38361941,12.7497891,0.21,2.5,2.58,0.7,8,2.2,3.5,81.5,94.483,95.87164,99.40218,,79.00023192,98.92163909,92.17795166,100,100,5.979000092,84.51538863
"Korea, Rep.",KOR,Asia,78.33181542,21.66818458,0.149232022,0.427564079,0.240806831,0.011458161,0.22660969,0.669398282,0.077896388,0.121387727,0.100273649,0.271183762,51339238,35938.37422,12.20689928,14.53079611,0.66,2.5,2.5,1.2,11,1.5,3.3,82.7,92.555,96.14202,101.4697,,71.3246887,99.59492443,99.88753714,100,96.68,3.730000019,95.09714917
Switzerland,CHE,Europe,78.84028712,21.15971288,0.138212457,0.070009079,0.037395545,0.000227412,0.035877346,0.112240735,0.04876261,0.215209769,0.265735486,0.109338329,8608259,57410.16586,6.885225378,5.483106398,0.08,2.5,2.58,0.7,5,3,4.2,83.3,95.69,93.53813,98.13683,,85.0852982,100,99.89104203,100,100,4.778999805,93.71386591
Belgium,BEL,Europe,78.89166182,21.10833818,0.137099068,0.093809263,0.049825799,0.001142712,0.048259258,0.150763978,0.065625011,0.113519351,0.145238131,0.098506747,11562784,42658.57617,13.05299718,10.03218602,0.3,2.5,2.58,0.7,7,2.1,3.8,81.2,93.479,98.29369,94.40424,,81.76069355,100,99.48606061,100,100,6.459000111,87.67968082
Japan,JPN,Asia,78.91741824,21.08258176,0.136540876,1.027921091,0.544410837,0.028381703,0.53357121,1.654024323,0.071777178,0.139547683,0.143282527,0.600196954,126854745,39002.22332,10.61836166,10.16911114,0.68,2.5,7.1,2.3,5,0.9,2.6,84.2,93.685,98.23516,102.51128,,71.82296118,98.9455414,100,100,100,2.444999933,90.87304215
Iceland,ISL,Europe,79.20300119,20.79699881,0.130351741,0.00272227,1.40E-03,2.21E-05,0.001379901,0.004440547,0.060225718,0.103526845,0.104030129,0.042456163,340566,46482.95829,14.3128844,14.00609573,0.2,2.5,2.58,0.7,3,1,2.1,82.4,94.997,99.45437,96.76078,,89.21630865,100,98.77744156,100,100,2.835000038,98.26
United Kingdom,GBR,Europe,79.37596768,20.62403232,0.126603223,0.530776774,0.266447214,0.004525858,0.267249949,0.873060295,0.07042116,0.137337585,0.20241293,0.345151665,66959016,39753.24389,10.78923706,7.198433143,0.21,2.5,2.58,0.7,9,2.6,4.3,81.4,90.953,99.72931,,,83.5481129,100,99.11270947,100,100,3.996000051,94.62
Slovenia,SVN,Europe,79.40811997,20.59188003,0.12590642,0.016477265,0.008238822,0.00014719,0.008287759,0.027145325,0.089152697,0.149345853,0.167593634,0.070763881,2081900,31400.83951,9.921720167,8.693981459,0.22,2.5,2.58,0.7,9,1.2,2.1,80.9,90.696,97.7027,96.13171,99.8,85.10352793,99.52328034,99.10727079,100,96.17,6.21999979,78.88542636
New Zealand,NZL,Oceania,79.49848439,20.50151561,0.123948048,0.037763228,1.87E-02,3.07E-05,0.018821393,0.06248691,0.077578056,0.078284277,0.085995173,0.060256521,4792409,36085.84278,18.92803781,16.94346205,0.02,2.5,2.58,0.7,11,3,5.3,82.2,92.668,99.12018,,,85.35720426,100,100,100,100,5.039000034,90.81109307
Estonia,EST,Europe,80.22006451,19.77993549,0.108310011,0.009912072,4.44E-03,9.66E-05,0.004815722,0.016999866,0.094957621,0.097727883,0.085959576,0.052154235,1303798,29481.25181,15.16218003,16.95047853,0.24,2.8,2.58,0.7,9,1.2,2.7,77.8,85.526,93.48397,107.96253,99.9489,80.44252911,99.61450486,99.60883236,100,92.89,5.587999821,88.10245687
Netherlands,NLD,Europe,80.37856419,19.62143581,0.104875016,0.129208515,0.056475552,0.001311598,0.062331888,0.223391301,0.057753715,0.112972722,0.12801849,0.115993128,17132908,48472.54454,13.11615527,11.3816055,0.25,2.5,2.58,0.7,7,2.3,3.9,81.6,94.449,97.32553,,,84.0954364,100,97.72696627,100,100,3.792999983,93.19727891
Norway,NOR,Europe,80.6608244,19.3391756,0.098757891,0.040145294,0.016764731,0.000537921,0.019149315,0.070421066,0.043201652,0.126470968,0.146544446,0.067319935,5400916,64800.05733,11.71626807,9.942757858,0.33,2.5,2.58,0.7,5,1.5,2.6,82.5,95.117,99.87784,101.06676,,90.20622909,100,98.058581,100,100,3.894999981,96.50851854
Czech Republic,CZE,Europe,80.73623296,19.26376704,0.097123642,0.078709619,0.032451864,0.001278373,0.037479952,0.138609342,0.085857744,0.106642758,0.119148945,0.093710722,10630589,32605.90633,13.89468712,12.22886145,0.4,2.5,2.6,4.6,4,1.7,3.3,79.2,88.606,,96.94885,,76.2905421,99.87968019,99.13616018,100,97.13,2.069000006,78.71917285
Germany,DEU,Europe,81.06721263,18.93278737,0.089950672,0.599894165,0.233073332,0.005845957,0.279604485,1.074894865,0.06189512,0.119452335,0.131419813,0.385457636,82438639,45229.24529,12.40467811,11.08703408,0.24,2.5,1.3,1,6,2.2,3.7,81,90.747,98.82815,84,,83.37546732,100,99.2191241,100,100,3.723999977,84.39550077
Austria,AUT,Europe,81.07370341,18.92629659,0.089810004,0.063768519,0.024745344,0.001346417,0.029953427,0.114300097,0.061612538,0.144983445,0.152968207,0.088710472,8766201,45436.68582,10.22025491,9.525220788,0.52,2.5,2.58,0.7,4,2.2,3.6,81.9,92.156,,97.17982,,83.49043571,100,99.97337503,100,100,5.387000084,87.93558659
France,FRA,Europe,81.49339915,18.50660085,0.080714386,0.465767633,0.166119909,0.005673621,0.212520388,0.853785067,0.072514464,0.170602985,0.201284932,0.331190969,65480710,38605.6709,8.685473824,7.238773068,0.3,2.5,2.58,0.7,8,2.4,4.2,82.9,93.618,98.55767,98.28128,,84.35619652,100,98.65200403,100,100,8.812000275,80.5
Finland,FIN,Europe,82.82204663,17.17795337,0.051920024,0.036718418,0.009075604,0.000164001,0.015319341,0.07251343,0.068976711,0.108987235,0.144443046,0.070881156,5561389,40585.72103,13.59579184,10.08740802,0.11,2.5,2.58,0.7,3,1.8,2.3,81.4,92.485,99.05899,99.84802,,88.69316873,100,99.44792464,100,100,8.248999596,87.46892907
Sweden,SWE,Europe,84.99235057,15.00764943,0.004885338,0.057988711,0.001543666,0.001459839,0.020330739,0.131080078,0.059627525,0.201348814,0.265361959,0.111098432,10053135,46949.28309,7.359207792,5.490824504,0.62,2.5,2.58,0.7,4,1.7,2.8,82.4,94.605,99.35069,108.24568,,90.35103212,100,99.30353361,100,100,6.318999767,96.40964528
Denmark,DNK,Europe,85.21777289,14.78222711,0,0.032812398,0,0.000373049,0.011061816,0.075301566,0.059968268,0.118407614,0.170340576,0.072676436,5775224,46682.51472,12.51412572,8.553780771,0.28,2.5,2.58,0.7,6,3.1,4.3,81.2,91.847,98.69361,99.45043,,88.1441876,100,99.5972302,100,100,5.360000134,97.09936216
